,match_id,player1,player2,elapsed_time,set_no,game_no,point_no,p1_sets,p2_sets,p1_games,p2_games,p1_score,p2_score,server,serve_no,point_victor,p1_points_won,p2_points_won,game_victor,set_victor,p1_ace,p2_ace,p1_winner,p2_winner,winner_shot_type,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_net_pt,p2_net_pt,p1_net_pt_won,p2_net_pt_won,p1_break_pt,p2_break_pt,p1_break_pt_won,p2_break_pt_won,p1_break_pt_missed,p2_break_pt_missed,p1_distance_run,p2_distance_run,rally_count,speed_mph,serve_width,serve_depth,return_depth
47,2023-wimbledon-3301,Wesley Koolhof,Max Purcell,28.43333333,2,1,48,1,0,0,0,15,15,2,2,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,90,,,-1
48,2023-wimbledon-3301,Wesley Koolhof,Max Purcell,29.03333333,2,1,49,1,0,0,0,15,30,2,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,119,,,-1
49,2023-wimbledon-3301,Wesley Koolhof,Max Purcell,29.38333333,2,1,50,1,0,0,0,15,40,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,113,,,-1
50,2023-wimbledon-3301,Wesley Koolhof,Max Purcell,29.8,2,1,51,1,0,0,1,0,0,2,1,2,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,118,,,-1
51,2023-wimbledon-3301,Wesley Koolhof,Max Purcell,30.58333333,2,2,52,1,0,0,1,15,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,125,,,-1
52,2023-wimbledon-3301,Wesley Koolhof,Max Purcell,31.15,2,2,53,1,0,0,1,30,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,87,,,-1
53,2023-wimbledon-3301,Wesley Koolhof,Max Purcell,31.91666667,2,2,54,1,0,0,1,40,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,119,,,-1
54,2023-wimbledon-3301,Wesley Koolhof,Max Purcell,32.28333333,2,2,55,1,0,1,1,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,105,,,-1
55,2023-wimbledon-3301,Wesley Koolhof,Max Purcell,33.2,2,3,56,1,0,1,1,0,15,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,110,,,-1
56,2023-wimbledon-3301,Wesley Koolhof,Max Purcell,33.61666667,2,3,57,1,0,1,1,15,15,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,83,,,-1
57,2023-wimbledon-3301,Wesley Koolhof,Max Purcell,34.36666667,2,3,58,1,0,1,1,30,15,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,108,,,-1
58,2023-wimbledon-3301,Wesley Koolhof,Max Purcell,34.88333333,2,3,59,1,0,1,1,30,30,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,106,,,-1
59,2023-wimbledon-3301,Wesley Koolhof,Max Purcell,35.33333333,2,3,60,1,0,1,1,30,40,4,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,110,,,-1
60,2023-wimbledon-3301,Wesley Koolhof,Max Purcell,35.75,2,3,61,1,0,1,2,0,0,4,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,84,,,-1
61,2023-wimbledon-3301,Wesley Koolhof,Max Purcell,36.26666667,2,4,62,1,0,1,2,15,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,109,,,-1
62,2023-wimbledon-3301,Wesley Koolhof,Max Purcell,36.71666667,2,4,63,1,0,1,2,15,15,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,106,,,-1
63,2023-wimbledon-3301,Wesley Koolhof,Max Purcell,37.25,2,4,64,1,0,1,2,30,15,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,119,,,-1
64,2023-wimbledon-3301,Wesley Koolhof,Max Purcell,37.63333333,2,4,65,1,0,1,2,30,30,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,112,,,-1
65,2023-wimbledon-3301,Wesley Koolhof,Max Purcell,38.08333333,2,4,66,1,0,1,2,40,30,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,110,,,-1
